SPOT	Gene Symbol	15m	30m	60m	90m	120m
1091	YDR105C	-0.42905	-1.475375	-1.0709	0.535475	0.387725
1095	YDR109C	-0.216775	-0.340975	-0.7755	0.713625	0.92195
1097	YDR111C	1.353475	1.212725	1.5361	0.821775	-0.25825
1102	YDR116C	1.8923	1.9247	2.4007	0.283525	0.567175
1106	YDR120C	1.3913	1.7591	1.6765	-1.9342	-0.41185
1109	YDR123C	2.03625	1.853575	2.348475	0.0081	-0.5282
1111	YDR125C	1.28275	0.31295	1.59275	3.07585	1.142325
1116	YDR130C	-1.51685	-1.64675	-1.02745	-1.3422	-0.9231
1123	YDR137W	-0.44375	-0.309325	-0.1505	1.66365	1.44915
1126	YDR140W	-1.309975	-2.474425	-2.020525	0.133775	-0.782275
1127	YDR141C	-0.684375	-0.78205	-0.835475	0.4315	0.3882
1129	YDR143C	1.532325	1.45485	1.106675	-0.3388	0.2427
1137	YDR151C	1.7663	2.4556	2.65055	-0.19	-0.45465
1142	YDR156W	1.7261	1.163525	1.608575	-1.014875	-0.752575
1143	YDR157W	1.2591	1.23215	1.8315	-1.370975	-1.343425
1147	YDR161W	0.9403	1.223425	1.602525	-1.663275	-1.023925
1151	YDR165W	0.890875	0.7459	0.7702	-1.3282	-1.509625
1157	YDR171W	-2.395875	-2.863425	-2.688675	1.57745	1.601025
1160	YDR174W	1.1988	1.15285	1.901175	1.1324	-2.508125
1161	YDR175C	1.624625	0.807925	0.883425	0.069	2.1385
1163	YDR177W	0.865975	0.85665	1.26265	-0.26045	-0.663575
1171	YDR184C	2.3585	2.38935	2.505225	-0.927775	-1.28155
1175	YDR188W	0.5637	1.247025	1.182375	0.055925	-0.586675
1177	YDR190C	0.43315	1.115525	1.187475	0.015575	-0.139875
1179	YDR192C	-0.844475	-0.450225	-0.848325	0.2804	-0.1401
1181	YDR194C	2.011375	2.630775	2.57665	-0.624025	0.840125
1182	YDR195W	2.212375	2.175375	1.66645	-0.175075	-0.82865
1188	YDR201W	-1.136425	-1.47515	-1.458725	-0.3293	0.020325
1191	YDR204W	-1.33535	-1.52315	-1.91085	0.938475	0.48755
1196	YDR209C	-1.8324	-1.752775	-1.5611	-0.076425	-0.1085
1197	YDR210W	-2.312125	-2.287675	-2.3673	-0.394775	-0.20225
1200	YDR213W	-1.3534	-1.783725	-2.060625	-0.276225	-0.850925
