Alpha	LSE	Penalty
0.8	0.858400775	0.014360984
0.5	0.857603076	0.024253716
0.2	0.854757895	0.039375384
0.1	0.851151308	0.0695935
0.08	0.849696897	0.088818701
0.05	0.84614475	0.148338112
0.02	0.837731579	0.427209427
0.01	0.831606705	0.871259384
0.008	0.829611424	1.097710951
0.005	0.824188782	1.964910809
0.002	0.814926661	4.957908646
0.001	0.810584572	8.060733919
0.0008	0.808559942	10.13911467
0.0005	0.80677753	12.91275064
0.0002	0.804873777	18.86014041
0.0001	0.80415491	23.55420529
