SPOT	Gene Symbol	15m	30m	60m	90m	120m
2624	YHR073W	0.40485	0.996875	0.6488	-0.635766667	-0.658933333
2633	YHR081W	1.65795	2.1662	2.589875	0.8928	-1.141533333
2637	YHR085W	2.41895	2.30255	1.620975	-0.282566667	-1.4985
2639	YHR087W	-2.453975	-2.307875	-2.302925	5.7384	3.8927
2640	YHR088W	2.378075	1.73495	2.1209	-0.721333333	-0.6047
2642	YHR090C	1.810575	1.03675	0.888533333	-0.6229	0.233766667
2644	YHR092C	5.1008	4.67925	1.15	-1.415466667	-0.008166667
2646	YHR094C	3.48915	2.94485	0.405	-1.616766667	0.061833333
2647	YHR095W	0.8397	0.0885	0.2538	1.4906	1.32205
2648	YHR096C	2.9354	2.66795	1.133375	0.252933333	0.491233333
2654	YHR102W	-0.506575	-0.583075	-0.63885	0.422733333	0.464633333
2661	YHR109W	-1.41685	-1.53005	-1.36725	-1.1056	-0.811
2662	YHR110W	-0.8374	-1.266525	-2.146675	1.488533333	1.624333333
2663	YHR111W	-1.36835	-1.21775	-1.374575	-1.1485	0.455866667
2664	YHR112C	-1.150825	-0.601025	-1.782425	0.090333333	0.477633333
2668	YHR116W	-0.046325	-0.3121	-0.521025	0.933533333	0.153
2681	YHR129C	-2.00015	-2.1078	-1.700225	-0.8901	0.8623
2688	YHR136C	0.130775	0.5682	2.1958	2.44645	1.526566667
2689	YHR137W	-0.707775	-0.6427	-0.624525	0.773933333	1.731066667
2690	YHR138C	-0.7983	-1.013125	-0.316375	1.853966667	1.109766667
2691	YHR139C	-0.78855	-0.6802	-0.66745	-0.253333333	0.832
2693	YHR140W	-0.73015	-0.841025	-0.8847	0.115666667	-0.5309
2700	YHR146W	-1.52015	-1.03655	-1.2097	-0.474233333	-0.752133333
2702	YHR148W	2.0999	2.839075	2.9664	0.157466667	-0.6145
2705	YHR151C	1.591325	1.191975	0.9325	0.166733333	-0.712533333
2707	YHR153C	-1.2441	-1.07205	-1.27455	0.6704	0.131933333
2708	YHR154W	-0.988825	-0.788175	-0.798275	-0.597933333	-0.4442
2711	YHR157W	0.451175	0.799725	0.64185	0.5034	-0.3415
2717	YHR163W	-0.739825	-1.327275	-1.3468	-0.8095	-0.152766667
2721	YHR167W	1.6559	1.124225	1.5728	0.5968	-0.221833333
2723	YHR169W	2.56315	2.237675	3.1864	-0.372566667	-0.596633333
2724	YHR170W	2.2556	2.774525	3.0644	0.29435	-0.9074
2727	YHR173C	-1.233	-1.383425	-1.2322	-0.6438	0.761466667
2729	YHR175W	0.43175	0.391025	0.6502	1.075733333	0.0918
2730	YHR176W	-0.719975	-0.626625	-0.624525	0.3675	0.164666667
2749	YHR195W	2.1757	1.354666667	0.8669	-0.3656	-0.74105
2750	YHR196W	2.588025	2.7611	2.0539	-0.007666667	-0.222866667
2751	YHR197W	2.13865	2.23455	2.0913	-0.341633333	-2.167966667
2755	YHR201C	0.9618	0.83315	-0.037375	-0.498433333	0.165833333
2759	YHR205W	0.523675	0.9396	0.4708	-0.6692	-0.6707
2760	YHR206W	0.795325	1.577775	1.665625	0.067066667	-0.264433333
2763	YHR209W	-0.2639	-0.0525	0.1757	1.0468	0.7084
2770	YHR214W-A	-0.65035	-0.788275	-0.827525	-0.6129	0.727233333
2771	YHR215W	-0.005625	0.61615	2.481775	0.5985	1.384866667
2774	YHR218W	-2.33085	-2.27045	-1.775925	-0.293066667	0.3281
2776	YIL001W	-1.4147	-1.337525	-1.5834	-0.9189	-0.288433333
2778	YIL003W	0.781075	0.562675	0.519125	-0.762666667	-0.569233333
2789	YIL014C-A	-1.7221	-2.14975	-2.531825	-0.228533333	0.650966667
2793	YIL017W	-0.20545	0.1985	0.621375	0.371533333	-1.323933333
2794	YIL018W	-0.304475	-0.398725	-1.058675	-0.040333333	-0.695466667
2796	YIL020C	-0.85035	-0.685275	-0.960025	-1.052666667	-0.763066667
2798	YIL022W	1.76595	1.4416	2.103775	0.228	-0.623133333
2800	YIL024C	0.842875	0.97885	0.989375	0.7661	0.943333333
2810	YIL034C	-1.5529	-1.904525	-1.527375	1.118033333	-0.115566667
2814	YIL038C	0.89965	1.2917	0.779025	-0.1371	-0.072966667
2818	YIL042C	1.4346	1.845075	1.125825	0.311033333	0.418166667
2822	YIL046W	0.709425	1.043225	1.008025	-0.039566667	0.2541
2825	YIL049W	0.99745	0.565075	0.579725	0.6323	0.2193
