id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
CIN5,3,5,8,-1.31591796875,1.2046308182179928,-0.11128715053200722,3.0,0.55,0.6818181818181818,2.833333333333333,1,0,7,0.3095238208770752,0.5929889211255737
CYC8,4,0,4,2.015894629061222,0.0,2.015894629061222,0.0,0.0,0.0,0.0,0,0,4,0.3333333432674408,0.6431978910711774
GCR2,0,1,1,0.0,1.4783345460891724,1.4783345460891724,3.0,0.48,0.5138888888888888,0.0,0,0,8,0.0,0.0
GLN3,1,0,1,2.4528539180755615,0.0,2.4528539180755615,0.0,0.0,0.0,0.0,0,0,0,0.0,0.46970547697504655
HAP4,5,0,5,-1.6368257105350494,0.0,-1.6368257105350494,0.0,0.0,0.0,0.0,1,0,3,0.44999998807907104,1.0
HMO1,1,8,9,0.785990834236145,2.0651875138282776,2.8511783480644226,3.0,0.631578947368421,0.763888888888889,0.0,1,0,9,0.3392857015132904,0.030830883147437132
MSN2,3,9,12,1.2991003394126892,-1.4921464025974274,-0.19304606318473816,2.0,0.8461538461538461,0.9090909090909091,26.833333333333332,0,0,7,0.17272727191448212,0.3925887976220264
MSN4,2,0,2,-1.0769323110580444,0.0,-1.0769323110580444,0.0,0.0,0.0,0.0,0,0,6,0.5,0.2361868121967516
SFP1,3,1,4,-0.14327242225408554,-3.4454431533813477,-3.588715575635433,4.0,0.3142857142857143,0.37121212121212127,5.0,0,0,7,0.5,0.8612070758748497
SWI4,1,4,5,0.5316274762153625,-6.1361130103468895,-5.604485534131527,2.0,0.8333333333333334,0.9,0.0,0,0,5,0.20000000298023224,0.20535592904931438
SWI5,1,1,2,-3.4454431533813477,2.12317156791687,-1.3222715854644775,3.0,0.4230769230769231,0.4696969696969697,10.0,1,0,7,0.5,0.4140479554309417
TEC1,4,5,9,-1.1981785893440247,-0.8255184777081013,-2.023697067052126,2.0,0.6470588235294118,0.7272727272727273,24.333333333333332,1,0,7,0.261904776096344,0.7237594712602642
YHP1,4,1,5,-1.367214560508728,2.4528539180755615,1.0856393575668335,1.0,1.0,1.0,8.0,0,0,1,0.30000001192092896,0.9691691168525626
YOX1,3,0,3,0.523274838924408,0.0,0.523274838924408,0.0,0.0,0.0,0.0,0,0,2,0.3333333432674408,0.3441488531744638
