id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ACE2,2,0,2,1.0538122057914734,0.0,1.0538122057914734,0.0,0.1261635512440552,0.0,0.0,0.0,0.0
CIN5,2,4,6,-0.259684681892395,0.3081976920366287,0.048513010144233704,0.23333333432674408,0.2582024007623645,3.0,0.6153846153846154,0.7291666666666666,4.833333333333333
GCR2,0,1,1,0.0,-3.6706836223602295,-3.6706836223602295,0.0,0.0,4.0,0.41379310344827586,0.46527777777777773,0.0
GLN3,1,1,2,1.557645320892334,-0.013322621583938599,1.5443226993083954,0.0,0.6963299006495527,1.0,1.0,1.0,7.0
HAP4,5,0,5,5.383342504501343E-4,0.0,5.383342504501343E-4,0.25,1.0,0.0,0.0,0.0,0.0
HMO1,1,6,7,0.7646784782409668,4.830108493566513,5.59478697180748,0.3333333432674408,0.1174044767830705,4.0,0.5185185185185185,0.6369047619047619,0.0
MCM1,1,5,6,3.1560440063476562,4.006681203842163,7.162725210189819,0.10000000149011612,0.1174044767830705,3.0,0.6428571428571429,0.7592592592592593,3.833333333333333
MGA2,1,0,1,-0.013322621583938599,0.0,-0.013322621583938599,0.0,0.5410010298071932,0.0,0.0,0.0,0.0
MSN2,2,6,8,-3.447169601917267,-2.3715489506721497,-5.8187185525894165,0.1607142835855484,0.1261635512440552,3.0,0.6470588235294118,0.7575757575757577,13.333333333333332
RDS3,1,0,1,1.1327265501022339,0.0,1.1327265501022339,0.0,0.6963299006495527,0.0,0.0,0.0,0.0
SFP1,3,1,4,2.2240393310785294,-1.7793389558792114,0.44470037519931793,0.1666666716337204,0.6260131402490124,1.0,1.0,1.0,4.0
STB5,1,2,3,-0.2367108166217804,-0.8415631353855133,-1.0782739520072937,0.3333333432674408,0.25658238296791513,2.0,0.75,0.8333333333333334,0.0
SWI4,2,3,5,-1.3505443930625916,-2.3473716024309397,-3.6979159954935312,0.25,0.2582024007623645,3.0,0.6,0.7222222222222222,1.0
SWI5,2,0,2,-0.9245880246162415,0.0,-0.9245880246162415,0.0,0.6647927617186368,0.0,0.0,0.0,0.0
YHP1,4,2,6,-1.1109764128923416,2.690371870994568,1.5793954581022263,0.10000000149011612,0.7713671666981956,2.0,0.75,0.8333333333333334,18.0
YOX1,4,0,4,-0.9776394013315439,0.0,-0.9776394013315439,0.3333333432674408,0.6321892605133501,0.0,0.0,0.0,0.0
ZAP1,0,1,1,0.0,0.7573179006576538,0.7573179006576538,0.0,0.0,1.0,1.0,1.0,0.0
