id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
CIN5,2,4,6,-1.476876676082611,-0.08357451111078262,-1.5604511871933937,0.23333333432674408,0.288020622948943,3.0,0.6153846153846154,0.7291666666666666,6.0
GCR2,0,1,1,0.0,-3.207275629043579,-3.207275629043579,0.0,0.0,4.0,0.41379310344827586,0.46527777777777773,0.0
GLN3,1,1,2,0.5887151956558228,0.055795297026634216,0.644510492682457,0.0,0.5674382659542215,1.0,1.0,1.0,6.0
HAP4,5,0,5,-0.7251726984977722,0.0,-0.7251726984977722,0.25,1.0,0.0,0.0,0.0,0.0
HMO1,1,5,6,0.729701578617096,1.7175441086292267,2.4472456872463226,0.4000000059604645,0.13161173113856656,4.0,0.48,0.6041666666666666,0.0
MGA2,1,0,1,0.055795297026634216,0.0,0.055795297026634216,0.0,0.459456644842874,0.0,0.0,0.0,0.0
MSN2,2,6,8,-3.0120467841625214,-2.895270597189665,-5.907317381352186,0.1607142835855484,0.1405735471239069,3.0,0.6470588235294118,0.7575757575757577,15.0
RDS3,1,0,1,0.6963452696800232,0.0,0.6963452696800232,0.0,0.5674382659542215,0.0,0.0,0.0,0.0
SFP1,3,1,4,-1.0268328823149204,-1.635382890701294,-2.6622157730162144,0.1666666716337204,0.7032401783983194,1.0,1.0,1.0,5.0
STB5,1,2,3,-0.21336373686790466,-1.7046828269958496,-1.9180465638637543,0.3333333432674408,0.287798005616341,2.0,0.75,0.8333333333333334,0.0
SWI4,1,3,4,-0.7926909327507019,-6.771237954613753,-7.563928887364455,0.25,0.15640889181037634,3.0,0.6,0.7222222222222222,0.0
SWI5,1,0,1,-1.635382890701294,0.0,-1.635382890701294,0.0,0.6213129728759643,0.0,0.0,0.0,0.0
YHP1,3,2,5,-5.071573510766029,1.285060465335846,-3.7865130454301834,0.10000000149011612,0.6093549878898324,2.0,0.75,0.8333333333333334,15.0
YOX1,3,0,3,-1.355641767499037,0.0,-1.355641767499037,0.3333333432674408,0.4531687134120576,0.0,0.0,0.0,0.0
