SPOT	Gene Symbol	15m	30m	60m	90m	120m
1309	YDR322W	0.9992	1.547525	0.503175	0.060275	0.962866667
1311	YDR324C	0.96705	2.04595	0.531925	-1.913475	-0.9441
1324	YDR337W	0.937975	1.3513	0.905475	0.0392	1.252525
1329	YDR342C	4.634825	3.152975	0.24395	-1.0113	0.2303
1330	YDR343C	3.923075	2.958433333	0.39245	-0.4577	0.523275
1332	YDR345C	4.70865	1.31825	0.658025	-2.31455	-0.4098
1333	YDR346C	2.22895	2.3006	0.89455	-1.27155	-0.65475
1336	YDR349C	-0.484	-0.2157	-1.3754	0.0821	-0.7258
1342	YDR355C	-0.530725	-0.776975	-1.63515	-0.798175	-1.3839
1344	YDR357C	-1.3678	-1.307625	-0.972525	-1.329	-1.31575
1346	YDR359C	-0.7312	-0.6366	-0.680725	-0.207725	-1.110925
1348	YDR361C	2.05065	1.983325	1.166325	-1.040025	-1.596375
1351	YDR364C	1.312425	1.557975	0.845775	-0.289675	-0.484825
1354	YDR367W	-0.8686	-1.1708	-0.380325	1.0618	-0.091266667
1355	YDR368W	-1.151475	-1.404725	-1.1639	-0.0196	1.337725
1357	YDR370C	1.99815	2.4053	1.20415	0.2206	-0.28935
1360	YDR373W	-1.29705	-0.900225	-0.54625	0.0123	-0.451625
1362	YDR375C	0.9977	1.886825	1.07595	0.45195	-0.4263
1367	YDR380W	-0.499375	-1.365075	-1.8953	-0.177633333	-0.44655
1385	YDR398W	3.206475	2.791625	1.171325	-1.555375	-1.297033333
1392	YDR405W	1.935325	1.2406	0.73155	0.04255	0.49815
1395	YDR408C	-0.756925	0.104925	0.0702	-0.049375	1.761375
1400	YDR413C	1.627725	2.1452	1.466975	-1.568125	-0.93895
1419	YDR432W	0.74535	1.3369	2.013875	5.973033333	1.980275
1430	YDR443C	-0.532075	-0.4383	-0.5614	-0.290025	-1.025025
1436	YDR449C	2.649575	2.097675	0.74725	-1.412075	-0.817375
1438	YDR451C	0.083725	1.328825	0.526475	0.073375	0.889375
1440	YDR453C	-1.505075	-1.299875	-1.20805	-1.1519	-0.089675
1450	YDR463W	0.558525	0.5846	0.340633333	-0.04915	-0.259525
1451	YDR464W	0.321675	0.848425	0.2947	-0.548875	0.0235
1452	YDR465C	1.17865	1.619375	0.41655	-2.022625	-0.7267
1457	YDR470C	-1.11225	-0.7199	-0.77295	-0.558875	-0.250825
1478	YDR492W	5.71605	5.671425	2.8001	-4.416175	-3.1192
1482	YDR496C	3.089325	2.663175	1.24635	-1.6648	-0.063833333
1487	YDR501W	-0.395275	-1.520125	-0.566225	-0.26575	0.130775
1489	YDR503C	-0.937025	-0.98785	-0.510875	0.237625	-0.29925
1494	YDR508C	2.59475	3.0917	1.245425	-0.195275	-0.04845
1495	YDR509W	1.811825	2.3562	0.913925	-0.38845	-0.38115
1500	YDR514C	1.459775	2.86255	1.68645	-0.181125	-0.497425
1502	YDR516C	-0.875	-0.485325	-0.613325	1.54015	1.795475
1503	YDR517W	-1.536975	-0.97325	-1.451275	0.56685	0.11585
1512	YDR526C	3.22825	1.71	0.431575	-1.32945	-1.428025
