SPOT	Gene Symbol	15m	30m	60m	90m	120m
4879	YNL151C	1.0661	1.560775	1.227775	-0.399275	-0.434925
4887	YNL159C	-0.92395	-1.074725	-1.2131	0.023	-0.8262
4888	YNL160W	-0.6122	-1.8488	-0.47395	1.379375	0.504275
4894	YNL166C	-0.503025	-0.941225	-0.085525	0.54385	0.5589
4896	YNL168C	-1.3346	-1.078325	-2.021733333	-0.420833333	0.10845
4915	YNL187W	-0.2027	-1.29995	-1.80095	-1.773975	-1.501975
4918	YNL190W	-0.984875	0.527775	2.004025	-1.69145	-2.8389
4930	YNL202W	0.827025	0.600125	0.8983	0.157525	-0.24275
4932	YNL204C	1.12365	1.3791	0.75005	0.321425	-0.09785
4939	YNL211C	0.667	1.394525	1.346725	0.887775	1.2607
4941	YNL213C	0.834225	1.888825	0.495075	0.461125	0.310025
4948	YNL220W	2.350566667	3.1983	1.787425	1.252725	0.119166667
4951	YNL223W	0.63625	0.58975	1.096675	-0.01135	0.35605
4961	YNL233W	0.049075	0.76965	1.1356	0.837375	0.867425
4962	YNL234W	1.5645	2.311425	1.93095	0.009975	-0.4894
4980	YNL252C	0.697975	1.148775	0.51995	-0.1625	0.273175
4989	YNL261W	0.313925	0.599625	0.71755	0.838125	0.492675
4993	YNL265C	0.240475	1.2978	0.74625	0.13385	-0.2409
5002	YNL274C	-0.8436	0.259625	0.099225	0.4042	0.516975
5003	YNL275W	1.2059	1.44475	1.823275	1.188175	0.051825
5009	YNL281W	-1.459225	-1.310375	-1.69335	-1.214575	-0.72725
5016	YNL288W	0.8244	0.878925	0.965575	0.116875	0.906175
5033	YNL305C	-1.68635	-2.694925	-2.109225	0.2389	0.0634
5036	YNL308C	0.97025	1.513925	1.3059	-0.6043	-1.033675
5040	YNL312W	-0.99415	-1.51455	-1.83105	0.988075	-0.255225
5071	YNR004W	-0.292275	1.678575	0.715175	-0.108825	-0.312325
5079	YNR012W	0.310775	0.973225	0.6764	0.421275	-0.41015
5085	YNR018W	0.6331	1.2343	-0.60825	-0.7639	-0.33145
