SPOT	Gene Symbol	15m	30m	60m	90m	120m
4138	YLR360W	-1.9909	-1.352425	-1.7548	-1.01465	-0.647825
4139	YLR361C	-1.0723	-0.9339	-1.31815	-0.478325	-0.648125
4142	YLR364W	-0.615675	-0.308425	-0.9903	-0.4149	0.2803
4162	YLR384C	0.0126	-0.11255	0.185025	-0.751775	-0.571225
4169	YLR390W-A	0.851475	-0.060475	0.66485	1.39	1.722825
4176	YLR398C	-1.6599	-0.928675	-1.416425	-1.527375	-0.9504
4181	YLR403W	0.8294	0.433025	0.63825	0.515775	0.777925
4191	YLR413W	0.222625	-0.014	-0.8255	-3.542475	-2.15865
4211	YLR433C	0.5274	0.167175	1.2566	0.4536	0.1232
4213	YLR435W	1.176375	0.648425	1.21515	-1.26175	0.024975
4216	YLR438W	-0.852075	-0.8083	-2.02125	0.873975	2.27595
4218	YLR440C	-0.790175	-0.83775	-0.8293	0.079725	0.5416
4227	YLR449W	1.033875	1.090475	1.5119	-1.239	-1.3416
4230	YLR452C	-0.450675	-0.526125	-1.38555	-0.164725	0.385325
4232	YLR454W	-0.382625	-0.502425	-0.5059	-1.111075	-0.77325
4260	YML012W	-0.955375	-0.7553	-1.945925	1.04325	0.777825
4262	YML014W	0.997525	-0.2043	0.784375	-1.689225	-1.18585
4266	YML018C	1.59535	1.60675	1.32295	-2.315225	-0.735475
4279	YML031W	0.65685	0.655525	0.462375	-0.233475	-0.380225
4280	YML032C	0.367025	0.497175	0.8663	0.23835	-0.106475
4283	YML034W	-1.668525	-0.40825	-0.968675	-0.54835	0.056566667
4290	YML041C	1.2849	1.282	0.79675	-0.01165	0.197
4292	YML043C	1.360125	1.78735	1.012275	-0.632125	-0.857575
4293	YML045W	-1.634875	-0.8058	-1.346075	0.896375	-0.09555
4300	YML051W	-1.943266667	-1.0076	-1.54925	-0.12245	-0.703425
4305	YML056C	1.026425	0.881025	0.87705	-1.4097	-1.166425
4314	YML064C	-0.61575	-0.7934	-1.6602	0.24435	0.521175
4315	YML065W	0.1855	0.4153	-0.194466667	-0.62195	0.763933333
4317	YML067C	-0.9441	-0.9131	-1.092275	0.062025	0.04345
4323	YML073C	-0.791633333	-0.154025	-1.164275	-0.183725	-0.0613
4328	YML078W	-0.200775	-0.29605	-0.5286	1.5351	0.90895
4330	YML080W	2.956325	2.272	2.4362	-0.649575	-0.030775
4332	YML082W	1.119775	0.869025	0.282675	-0.10525	-0.28675
4354	YML101C-A	-1.087175	-1.588475	-1.045625	0.37725	-0.94055
4359	YML106W	-0.3353	-0.16105	-0.888275	-0.011725	0.587475
4361	YML108W	0.495775	1.5017	0.078175	-1.63085	0.1235
4362	YML109W	-0.653866667	-0.64525	-0.986575	-0.440125	-0.03385
4375	YML121W	1.878625	0.896775	0.392125	-0.60665	0.6631
4379	YML125C	1.379725	0.5052	1.628925	-0.153975	-1.15285
4382	YML128C	-0.881175	-0.219075	-0.0314	2.04655	0.623425
4393	YMR006C	1.108733333	0.164075	0.4244	-3.3291	-1.329875
4396	YMR009W	-2.151366667	-1.96825	-1.6294	-0.20465	0.352525
4401	YMR014W	0.943275	0.888225	0.53945	-1.55985	-0.4138
4410	YMR023C	0.5142	0.323425	0.8368	0.093625	0.05825
4411	YMR024W	0.874525	1.372825	1.39515	-0.165175	0.4295
4412	YMR025W	-1.065075	-0.529475	-0.85345	0.7079	0.7466
4414	YMR027W	-0.34115	-0.413	-0.556325	1.532375	1.2241
4420	YMR032W	-0.4413	-0.0813	0.025575	-0.0824	0.739325
4421	YMR033W	1.155725	0.9128	1.0864	0.096325	0.17455
4423	YMR035W	-2.165933333	-1.534175	-1.55695	0.402975	0.000475
4426	YMR038C	-0.86335	-1.5371	-2.143966667	-0.0288	0.1655
4427	YMR039C	1.657966667	1.390125	1.0442	-0.27555	0.6628
4437	YMR049C	2.774233333	2.27685	3.068566667	-1.694925	-1.579033333
4447	YMR058W	-1.457975	-1.455325	-3.0739	0.278775	0.009966667
4463	YMR074C	-0.13885	0.06965	-0.625975	1.997025	0.558575
4468	YMR078C	-0.88305	-1.00005	-1.099025	0.218375	-0.5419
4487	YMR096W	-2.4858	-1.641775	-0.813075	-0.608075	-0.952875
4499	YMR108W	1.27695	0.764925	2.032075	0.211225	0.9029
4508	YMR117C	-1.4038	-1.403466667	-0.9788	0.7236	-0.129175
4512	YMR120C	1.011425	-0.023375	-0.946075	-2.013825	2.508475
4518	YMR126C	1.020225	0.93625	1.39575	-0.373075	-0.4816
4519	YMR127C	-0.04845	-0.328125	-0.433275	-1.608975	-1.540475
4524	YMR132C	-0.056125	0.2038	0.169225	2.959975	1.985625
4531	YMR138W	-1.14195	-0.8154	-1.3992	-0.920575	-0.145825
4534	YMR141C	1.614866667	2.560725	1.793275	1.4258	-0.029
4544	YMR151W	1.235175	1.590133333	1.028275	0.17605	0.012375
4546	YMR153C-A	-1.504225	-2.38435	-1.9562	-0.03165	0.119275
4561	YMR166C	-0.610275	-1.037025	-1.2277	-0.5625	-0.31245
4562	YMR167W	-1.897025	-1.9664	-1.686925	-0.8508	-0.2973
4570	YMR173W-A	0.70395	0.658975	1.815525	5.208775	3.809166667
4574	YMR177W	1.0841	1.328325	1.7847	-0.100525	-0.3276
4609	YMR211W	1.50575	0.905375	0.388675	-1.40255	-0.97645
4611	YMR213W	1.04795	0.6841	0.10545	-0.6664	-0.0034
4612	YMR214W	-0.294675	-0.730275	-0.61085	-0.888075	-0.27025
4621	YMR223W	1.8481	1.36165	2.441475	-0.174875	-0.223125
4624	YMR226C	-0.231033333	-0.56455	-0.3025	1.567675	1.0376
4645	YMR246W	1.936575	1.5292	2.077625	-6.4677	-2.711075
4647	YMR250W	-1.322766667	-1.377133333	0.1939	3.494475	1.406625
4649	YMR251W-A	-1.367675	-1.566625	-0.8348	5.38205	3.291175
4663	YMR265C	0.8269	0.64505	1.176175	-0.038175	0.493125
4665	YMR267W	2.086475	1.3799	1.608275	-0.2555	0.70565
4666	YMR268C	1.115125	1.1168	1.54095	-0.063725	-0.047366667
4669	YMR271C	1.16145	0.575675	0.892775	0.152225	0.1844
4672	YMR274C	2.265533333	1.51685	1.47135	0.197875	0.128825
4688	YMR290C	1.9237	0.6373	2.3255	-1.3747	-0.05975
4695	YMR295C	0.555825	0.20815	1.2582	0.7979	1.656675
4697	YMR297W	-0.576925	-1.08325	-1.173125	1.6087	1.0425
4700	YMR300C	1.360425	1.3202	1.77745	-1.050075	0.298625
4711	YMR310C	1.210475	0.28535	0.5326	-1.007525	-0.584725
4713	YMR312W	-0.56465	-1.071275	-1.359675	-0.663025	0.21405
4716	YMR315W	-0.053525	-0.816125	-0.665225	2.8292	1.513325
4727	YMR324C	0.35805	1.388866667	1.351825	-1.3434	-1.361
4731	YNL002C	2.266466667	2.009033333	2.2945	-2.231675	-0.782925
4735	YNL006W	-0.540275	-1.4779	-0.642275	-0.0946	0.1146
4742	YNL013C	-0.78875	1.021433333	-0.649875	-1.02745	-0.6113
4744	YNL015W	-0.89455	-0.70925	-0.85505	1.94205	1.635075
4751	YNL022C	1.855325	0.687925	1.06305	-2.06265	-0.95705
4753	YNL024C	5.686625	5.02215	5.888925	-0.332175	-0.476575
4765	YNL036W	8.34955	6.2755	7.765925	7.595625	8.9009
4766	YNL037C	-1.92415	-2.181125	-2.7111	1.023475	3.41115
4775	YNL046W	-1.6673	-1.50375	-1.89255	-0.231075	-1.140475
4789	YNL061W	2.092375	1.269275	2.365225	-1.4019	0.1237
4793	YNL065W	4.349875	3.1269	1.151	-2.70895	-0.649925
4794	YNL066W	-0.74905	-1.657125	-1.31035	-2.212025	-1.603825
4803	YNL075W	2.960725	2.117125	2.11095	-2.025075	-0.33375
4806	YNL078W	0.005575	-0.528975	-1.294325	-0.2762	0.20785
4807	YNL079C	-0.564033333	-0.646125	-0.933575	0.822	0.574266667
4828	YNL100W	1.1368	1.0033	2.1271	0.39275	1.2126
