SPOT	Gene Symbol	15m	30m	60m	90m	120m
4318	YML068W	-1.112025	-0.7019	-0.9756	0.07978	0.30352
4319	YML069W	-0.1078	-0.49652	-0.21865	0.6958	-0.09756
4324	YML074C	-0.361575	-0.34552	0.074825	0.43836	-1.40466
4326	YML076C	-0.2277	0.3787	1.4211	-0.0387	-0.20556
4328	YML078W	-1.2901	-0.63146	-0.9649	0.93286	0.5269
4329	YML079W	-1.537725	-1.20002	-0.8628	1.06658	0.59558
4330	YML080W	1.683925	1.84355	1.594975	-1.01058	-0.82424
4338	YML088W	0.851125	1.15512	2.08675	-0.61136	-0.4119
4343	YML093W	1.365225	1.15234	1.49025	-1.01694	-0.6815
4348	YML097C	1.36365	1.17706	1.285475	-0.11564	-0.18256
4351	YML100W	-0.814575	-1.32672	-2.126666667	1.15442	1.66464
4359	YML106W	-0.1792	-0.84958	-0.862925	0.1882	0.87184
4363	YML110C	-1.11975	-0.61362	-0.82515	1.57876	0.1676
4365	YML112W	1.250375	0.4312	0.13445	-0.33144	-0.6218
4369	YML116W	0.669875	1.83398	2.274725	-0.3089	0.19262
4370	YML116W-A	0.641475	1.10252	0.538325	1.02814	1.32874
4374	YML120C	-0.687625	-0.96386	-0.844675	0.08838	0.003
4377	YML123C	0.6712	2.05086	1.08075	1.99238	2.0159
4379	YML125C	0.764	0.58152	0.57515	-1.7507	-0.85722
4384	YML130C	1.635225	1.85085	1.645125	-0.64904	-0.65842
4385	YML131W	-1.28925	-1.16196	-1.98435	-0.29236	-0.53018
4386	YML132W	-0.6451	-1.05568	-1.446775	0.9257	0.00842
4387	YML133C	-0.027325	0.16392	0.42395	2.0363	0.41454
4393	YMR006C	0.085975	0.23314	0.145825	-4.04252	-3.5386
4396	YMR009W	-1.657225	-1.65786	-2.356975	0.38784	0.24784
4397	YMR010W	1.282675	1.21888	0.541125	0.28302	-0.10894
4398	YMR011W	6.51535	4.92302	0.8881	-0.335	1.50416
4401	YMR014W	1.592075	1.58	1.747975	-1.2502	-0.89986
4412	YMR025W	-0.533475	-1.24216	-1.390875	0.11952	-0.1855
4414	YMR027W	-0.607425	-0.67114	-1.086575	0.826	0.3412
4416	YMR029C	-0.598175	-0.51634	-0.7649	0.90938	0.31268
4423	YMR035W	-1.936425	-1.88766	-2.409825	-0.2684	0.1147
4426	YMR038C	-1.283775	-1.69354	-2.2153	-0.90148	-0.3708
