id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
ACE2,4,2,6,-0.6714865565299988,-3.3232735097408295,-3.9947600662708282,6.0,0.24390243902439024,0.3266666666666667,14.0,0,0.1352004923702201,0,0.25,1.0
ASH1,1,2,3,-2.285174608230591,-2.0737998336553574,-4.358974441885948,5.0,0.38461538461538464,0.49499999999999994,40.0,1,0.08949740674491193,0,0.0,0.2471754589156549
CIN5,2,1,3,-2.9379119873046875,0.004928011447191238,-2.9329839758574963,5.0,0.35714285714285715,0.42833333333333334,27.0,1,0.054088381422675524,0,0.0,0.21344098444084678
GCR2,2,3,5,-1.7306578755378723,2.0360841751098633,0.30542629957199097,5.0,0.38461538461538464,0.5366666666666666,27.499999999999996,0,0.07373569961805847,0,0.0833333358168602,0.438201408951985
GLN3,2,2,4,-2.4674322456121445,-3.657041072845459,-6.1244733184576035,6.0,0.3448275862068966,0.47833333333333333,30.500000000000004,1,0.08312468606055881,0,0.0,0.33590801267958437
HAP4,2,0,2,-0.493840292096138,0.0,-0.493840292096138,0.0,0.0,0.0,0.0,1,0.020479408732515803,1,0.0,0.1254128095099351
HMO1,2,1,3,-1.8547180891036987,0.19548745453357697,-1.6592306345701218,5.0,0.2777777777777778,0.3516666666666667,36.0,1,0.08952582884727786,0,0.1666666716337204,0.7732387743347551
MSN2,2,3,5,-0.06064875051379204,-5.312926799058914,-5.373575549572706,5.0,0.43478260869565216,0.5783333333333334,39.99999999999999,1,0.11990582468881393,0,0.0,0.3678125710018905
SFP1,2,3,5,-0.3828386664390564,-4.0165295004844666,-4.399368166923523,5.0,0.34210526315789475,0.4474358974358975,12.0,1,0.021729573086028752,3,0.25,0.16059819717956317
STB5,2,2,4,-1.5507699251174927,4.762393891811371,3.211623966693878,5.0,0.37037037037037035,0.4866666666666667,14.0,2,0.06743307633432327,0,0.0,0.4246439243118576
SWI4,1,3,4,-1.1773778200149536,-1.1274762153625488,-2.3048540353775024,6.0,0.28,0.3880952380952381,0.0,1,0.01557281998050768,4,0.3333333432674408,0.04053272724537324
SWI5,2,1,3,0.44357654452323914,-2.285174608230591,-1.8415980637073517,5.0,0.3225806451612903,0.3950000000000001,43.0,1,0.09213054348920124,0,0.0,0.478266285189959
YHP1,2,1,3,3.727512091398239,-0.06557676196098328,3.661935329437256,6.0,0.3125,0.395,6.0,2,0.07373569961805847,0,0.0,0.438201408951985
YOX1,1,1,2,-3.2850019931793213,-0.1561189591884613,-3.4411209523677826,7.0,0.21739130434782608,0.3102380952380952,6.999999999999999,0,0.04652335076622417,0,0.0,0.1861391075516296
ZAP1,1,3,4,-1.047088861465454,-0.754835307598114,-1.8019241690635681,4.0,0.375,0.5,19.0,1,0.017317260394687905,2,0.0,0.1200654699341899
