id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
ACE2,2,1,3,3.4338200092315674,2.6576216220855713,6.091441631317139,7.0,0.25,0.3369047619047619,0.0,4,0.036091618298628295,0,3,0.5,0.5252316483341024
ASH1,2,1,3,-2.076496869325638,-0.8421244025230408,-2.9186212718486786,1.0,1.0,1.0,6.5,1,0.23947194227814156,0,0,0.0,0.3867555054371594
CIN5,2,0,2,-4.3395805060863495,0.0,-4.3395805060863495,0.0,0.0,0.0,0.0,3,0.060916088545822714,0,2,0.5,0.8742831765343622
GCR2,3,2,5,1.5533041432499886,-3.7191980481147766,-2.165893904864788,6.0,0.3157894736842105,0.4361111111111111,12.0,4,0.06677028718418745,0,3,0.3333333432674408,0.7883771423408203
GLN3,0,1,1,0.0,-0.20801441371440887,-0.20801441371440887,5.0,0.34210526315789475,0.4,0.0,2,0.013452022161687567,0,4,0.0,0.0
HAP4,1,5,6,-1.211775779724121,1.7676065936684608,0.5558308139443398,3.0,0.5714285714285714,0.6805555555555555,24.0,4,0.019895422171344976,0,3,0.13333334028720856,0.15119403195067252
HMO1,5,2,7,-2.5992307886481285,0.19022395461797714,-2.4090068340301514,5.0,0.36363636363636365,0.4611111111111111,43.0,3,0.07356927800542823,0,3,0.2142857164144516,1.0
MSN2,3,1,4,0.7323604822158813,-2.5244483947753906,-1.7920879125595093,2.0,0.6666666666666666,0.75,15.5,4,0.04550217767011671,0,1,0.0833333358168602,0.4179185371276259
SFP1,0,2,2,0.0,-0.5249420404434204,-0.5249420404434204,6.0,0.325,0.441025641025641,0.0,3,0.013452022161687567,0,5,0.5,0.0
STB5,1,2,3,0.5385980606079102,4.00995147228241,4.54854953289032,6.0,0.36363636363636365,0.48194444444444445,11.0,4,0.027761366764290862,0,3,0.0,0.050401589278616224
SWI4,3,3,6,-0.6094050332903862,-6.362599641084671,-6.972004674375057,4.0,0.48,0.5763888888888888,59.0,3,0.05953651383698956,0,3,0.1666666716337204,0.5857398590050152
SWI5,2,1,3,-0.6988059133291245,0.4479515254497528,-0.25085438787937164,1.0,1.0,1.0,1.0,1,0.22021058280331324,0,0,0.0,0.2907307464738185
YHP1,4,4,8,-0.18154671788215637,-3.3225834146142006,-3.504130132496357,6.0,0.3333333333333333,0.5194444444444445,26.5,4,0.0762152761330351,0,3,0.1190476194024086,0.7317032022883752
YOX1,1,1,2,2.2235896587371826,0.5385980606079102,2.7621877193450928,6.0,0.3076923076923077,0.37777777777777777,9.0,4,0.016834302783628335,0,3,0.0,0.08049184325257384
ZAP1,1,4,5,-5.794283390045166,-1.137495517730713,-6.931778907775879,3.0,0.5454545454545454,0.6388888888888888,32.5,0,0.0303211513557617,0,3,0.25,0.29793734703045066
