id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
ACE2,3,2,5,0.17174845933914185,-2.807675302028656,-2.635926842689514,5.0,0.3333333333333333,0.45666666666666667,15.5,0,0.030634870052681756,3,0.05000000074505806,0.02652771303132779
ASH1,0,2,2,0.0,2.478744149208069,2.478744149208069,5.0,0.375,0.4749999999999999,0.0,1,0.014785378719498317,5,0.0,0.0
CIN5,4,2,6,-6.062637314200401,0.0966360755264759,-5.966001238673925,5.0,0.36,0.49814814814814823,29.0,0,0.1732225434028739,2,0.15000000596046448,0.9779122554376172
GCR2,0,3,3,0.0,1.2775628566741943,1.2775628566741943,4.0,0.43333333333333335,0.5384615384615384,0.0,2,0.014785378719498317,7,0.3333333432674408,0.0
GLN3,3,3,6,0.9268616177141666,0.5508672595024109,1.4777288772165775,5.0,0.375,0.5537037037037037,23.0,2,0.13354411366473443,2,0.15000000596046448,0.888200687763928
HAP4,3,2,5,-1.2018179297447205,0.3402082771062851,-0.8616096526384354,6.0,0.3333333333333333,0.4616666666666666,8.5,0,0.030634870052681756,4,0.05000000074505806,0.02652771303132779
HMO1,3,2,5,-0.014795705676078796,0.01559901237487793,8.033066987991333E-4,4.0,0.375,0.4907407407407407,52.0,0,0.13926610308120943,2,0.15000000596046448,1.0
MSN2,2,0,2,-1.0448046922683716,0.0,-1.0448046922683716,0.0,0.0,0.0,0.0,0,0.04220974253341313,0,0.0,0.19427931918326014
SFP1,2,0,2,-0.4893638491630554,0.0,-0.4893638491630554,0.0,0.0,0.0,0.0,0,0.04220974253341313,1,0.0,0.19427931918326014
STB5,2,3,5,0.2579142451286316,2.9969003796577454,3.254814624786377,4.0,0.47368421052631576,0.6018518518518517,20.0,2,0.050865091646089454,2,0.05000000074505806,0.25874557838520734
SWI4,1,1,2,-0.31875669956207275,-3.5798704624176025,-3.8986271619796753,6.0,0.28125,0.38333333333333336,4.0,0,0.07394895872739761,2,0.5,0.5177015726113506
SWI5,1,1,2,0.12261980772018433,-2.708202600479126,-2.5855827927589417,6.0,0.28125,0.38333333333333336,0.0,0,0.05259750716689351,2,1.0,0.450404941190942
YHP1,1,3,4,5.094503879547119,1.1045646667480469,6.199068546295166,4.0,0.46153846153846156,0.5624999999999999,2.0,2,0.018974745414092394,6,0.1666666716337204,0.005194875945332188
YOX1,2,3,5,0.07368072867393494,-2.2770074903964996,-2.2033267617225647,3.0,0.5,0.574074074074074,30.0,0,0.10837204771218949,2,0.3333333432674408,0.4981883504787256
ZAP1,1,1,2,0.3343557119369507,0.36118143796920776,0.6955371499061584,4.0,0.375,0.4351851851851852,33.0,0,0.07394895872739761,2,0.0,0.5177015726113506
