id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
ACE2,2,3,5,0.4893942645849165,-7.73617959022522,-7.246785325640303,4.0,0.42857142857142855,0.5416666666666666,26.833333333333332,0,0.05545242826879325,0,1,0.3333333432674408,0.6827271394051568
ASH1,2,0,2,-4.547962665557861,0.0,-4.547962665557861,0.0,0.0,0.0,0.0,0,0.05414237900420408,0,0,0.0,0.30712514140576275
CIN5,2,2,4,0.6783798485994339,-1.2798452377319336,-0.6014653891324997,6.0,0.34285714285714286,0.4541666666666666,48.5,0,0.08074434843585142,0,1,0.25,0.4219608666751744
GCR2,1,1,2,-0.11686711758375168,-0.9940308332443237,-1.1108979508280754,6.0,0.22641509433962265,0.3,1.0,0,0.06164481567716596,0,1,0.5,0.04089514633994973
GLN3,0,2,2,0.0,-0.7111265882849693,-0.7111265882849693,6.0,0.3181818181818182,0.41309523809523807,0.0,0,0.013067130486924509,0,3,0.0,0.0
HAP4,1,2,3,-5.085709095001221,0.12154271453619003,-4.964166380465031,4.0,0.36363636363636365,0.45833333333333326,49.0,0,0.1142671848486698,0,1,0.1666666716337204,0.07345587531674669
HMO1,5,5,10,0.7116747088730335,1.508299442297357,2.2199741511703905,5.0,0.41379310344827586,0.5722222222222222,44.833333333333336,1,0.11235672756186427,0,1,0.2857142984867096,1.0
MSN2,2,1,3,-4.266050696372986,-5.085709095001221,-9.351759791374207,5.0,0.27906976744186046,0.351388888888889,50.0,0,0.1190195421743658,0,1,0.1666666716337204,0.1474002309724851
SFP1,1,1,2,-0.5920502543449402,-0.22101128101348877,-0.813061535358429,6.0,0.30952380952380953,0.3897435897435898,9.0,0,0.01862099986358174,0,2,0.0,0.003810657203352248
STB5,2,1,3,2.5641313791275024,6.186517715454102,8.750649094581604,6.0,0.32432432432432434,0.3986111111111111,29.333333333333332,1,0.07064860178509798,0,1,0.1666666716337204,0.46926373953312567
SWI4,3,1,4,0.43914252519607544,-3.272019863128662,-2.8328773379325867,6.0,0.24,0.3138888888888889,38.0,0,0.0630458509199702,0,1,0.0,0.29206347794010984
SWI5,1,3,4,6.186517715454102,-7.72472408413887,-1.5382063686847687,5.0,0.42857142857142855,0.5513888888888889,28.333333333333332,1,0.07313761772672289,0,1,0.0,0.17882997470658518
YHP1,3,3,6,-5.97969762980938,4.653258491307497,-1.3264391385018826,5.0,0.41379310344827586,0.5375,35.5,1,0.0821769674050115,0,1,0.25,0.8026679508390556
YOX1,1,1,2,-5.763545989990234,-0.10107610374689102,-5.864622093737125,7.0,0.21428571428571427,0.29325396825396827,8.0,0,0.0337941968658195,0,1,0.0,0.07114793018991317
ZAP1,2,2,4,-1.6810080707073212,-2.307546764612198,-3.988554835319519,6.0,0.3157894736842105,0.4361111111111111,5.666666666666667,0,0.0478812611300213,0,1,0.1666666716337204,0.6350656303758624
