id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
ACE2,1,1,2,-1.5350542068481445,4.553833484649658,3.0187792778015137,6.0,0.2857142857142857,0.36166666666666664,7.0,0,0.04853912892195551,5,0.0,0.15338063493788104
ASH1,2,1,3,0.9328188896179199,-1.2201528549194336,-0.28733396530151367,5.0,0.3448275862068966,0.42000000000000004,15.0,0,0.07073258263365345,5,0.0,0.08108607586538137
CIN5,2,3,5,-0.9558279514312744,-0.38593609258532524,-1.3417640440165997,3.0,0.5,0.5999999999999999,19.5,1,0.05904070133647982,5,0.0,0.19625183709521682
GCR2,2,3,5,2.414428234100342,4.192681789398193,6.607110023498535,3.0,0.5,0.5999999999999999,23.5,1,0.06803702272412972,5,0.0833333358168602,0.4124035050790947
GLN3,1,1,2,-0.03593456745147705,-0.33209604024887085,-0.3680306077003479,1.0,1.0,1.0,10.0,1,0.05753545030960541,3,0.0,0.36953230292175915
HAP4,5,4,9,-3.210465058684349,0.6873220801353455,-2.5231429785490036,4.0,0.43478260869565216,0.5666666666666667,48.0,1,0.1733280575216153,5,0.190476194024086,0.7668843464551083
HMO1,2,2,4,-1.3044610619544983,0.5528766289353371,-0.7515844330191612,5.0,0.3235294117647059,0.4,3.0,1,0.04619599067045749,6,0.3333333432674408,0.04721041924482018
MSN2,0,3,3,0.0,-4.478700757026672,-4.478700757026672,5.0,0.3939393939393939,0.5153846153846153,0.0,1,0.020697653632588967,8,0.0,0.0
SFP1,2,3,5,-0.6428703665733337,0.4053118824958801,-0.2375584840774536,4.0,0.4074074074074074,0.49999999999999994,6.0,1,0.03706159550552566,7,0.25,0.04721041924482018
STB5,1,0,1,-0.33209604024887085,0.0,-0.33209604024887085,0.0,0.0,0.0,0.0,2,0.06962177626209849,2,0.0,0.1657190725324883
SWI4,3,2,5,2.082425355911255,1.1206395626068115,3.2030649185180664,4.0,0.4,0.5,26.0,1,0.06550158686877834,5,0.0,0.3087524726837764
SWI5,1,0,1,-0.044497717171907425,0.0,-0.044497717171907425,0.0,0.0,0.0,0.0,3,0.037422385187530424,4,0.0,0.10772052092085034
YHP1,0,2,2,0.0,-5.749572992324829,-5.749572992324829,4.0,0.39285714285714285,0.4848484848484848,0.0,1,0.020697653632588967,9,0.0,0.0
YOX1,4,2,6,3.568879187107086,3.4911465644836426,7.060025751590729,1.0,1.0,1.0,10.0,1,0.14378714028805747,1,0.30000001192092896,1.0
ZAP1,1,0,1,1.9000085592269897,0.0,1.9000085592269897,0.0,0.0,0.0,0.0,1,0.08180132665899932,0,0.0,0.4294357453153143
