id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
ACE2,5,4,9,4.564978748559952,-0.6289417147636414,3.9360370337963104,4.0,0.45,0.5925925925925927,55.0,0,0.16049793194604112,0,2,0.2666666805744171,1.0
ASH1,2,1,3,-3.7453960180282593,-1.2545075416564941,-4.999903559684753,4.0,0.375,0.4444444444444444,47.0,1,0.09049939166224577,0,2,0.0,0.25414209483980693
CIN5,2,2,4,1.2485022991895676,1.4946630001068115,2.743165299296379,5.0,0.29411764705882354,0.36500000000000005,4.0,1,0.035539138328027936,0,3,0.3333333432674408,0.04719283811456327
GCR2,2,2,4,2.773040473461151,-2.9631693959236145,-0.19012892246246338,5.0,0.34615384615384615,0.47962962962962963,7.0,0,0.05457147909114923,0,2,0.0,0.4340170256016164
GLN3,0,4,4,0.0,0.37097708880901337,0.37097708880901337,4.0,0.42424242424242425,0.5535714285714285,0.0,2,0.016859172349466704,0,6,0.0,0.0
HAP4,1,2,3,-7.247661113739014,0.16290026903152466,-7.084760844707489,5.0,0.36,0.4981481481481482,6.0,3,0.04927427955186166,0,2,0.3333333432674408,0.23628766359255035
HMO1,1,2,3,1.3026676177978516,-0.3405540883541107,0.9621135294437408,6.0,0.2727272727272727,0.42407407407407405,4.0,4,0.04215129396967443,0,2,0.1666666716337204,0.11988455181209125
MSN2,2,2,4,-0.5355211198329926,-0.9392498135566711,-1.4747709333896637,5.0,0.3548387096774194,0.4681818181818182,22.5,0,0.07762229059565746,0,4,0.0,0.05504550329921348
SFP1,2,1,3,-0.5550571382045746,-3.8602218627929688,-4.415279000997543,5.0,0.3,0.3777777777777778,36.0,0,0.06889975423344155,0,2,0.0,0.4915261846825946
STB5,2,0,2,0.4729878306388855,0.0,0.4729878306388855,0.0,0.0,0.0,0.0,4,0.06006142192838023,0,1,0.5,0.1816909091663526
SWI4,1,1,2,0.4067615568637848,-0.1198139637708664,0.2869475930929184,7.0,0.22641509433962265,0.30297619047619045,0.5,2,0.020441025165880176,0,5,0.0,0.004297198273283331
SWI5,2,4,6,-1.932572066783905,-1.057183563709259,-2.989755630493164,3.0,0.5,0.611111111111111,44.0,4,0.11911793195754539,0,2,0.25,0.24253250789750905
YHP1,2,2,4,-7.909226417541504,-5.732550501823425,-13.64177691936493,5.0,0.36,0.4981481481481482,26.0,0,0.07628174789494349,0,2,0.1666666716337204,0.5496043791404241
YOX1,2,0,2,-2.011939376592636,0.0,-2.011939376592636,0.0,0.0,0.0,0.0,3,0.060992185816942074,0,0,0.0,0.28717909924746643
ZAP1,2,1,3,-1.9923677891492844,-0.2931504249572754,-2.2855182141065598,6.0,0.2682926829268293,0.343939393939394,11.0,5,0.06719100766280696,0,4,0.0,0.05863939371391132
